Time,FPS, Memory
0.0,66.7,446.5
0.0,60.5,451.6
0.0,64.1,451.6
0.0,65.7,451.6
0.0,70.4,451.6
0.0,76.3,451.6
0.1,82.8,451.6
0.1,87.9,451.6
0.1,95.3,451.6
0.1,100.6,451.6
0.1,102.3,451.6
0.1,107.5,451.6
0.1,110.5,451.6
0.1,113.9,451.6
0.1,117.6,451.6
0.1,119.8,451.6
0.1,122.7,451.6
0.1,125.5,451.6
0.1,127.5,451.6
0.1,129.9,451.6
0.1,132.1,451.6
0.1,133.2,451.6
0.1,133.8,451.6
0.2,136.7,451.6
0.2,137.8,451.6
0.2,139.3,451.6
0.2,139.8,451.6
0.2,140.0,451.6
0.2,142.5,451.6
0.2,143.2,451.6
0.2,144.1,451.6
0.2,144.3,451.6
0.2,145.2,451.6
0.2,146.4,451.6
0.2,145.2,451.6
0.2,146.3,451.6
0.2,147.4,451.6
0.2,147.6,451.6
0.3,148.4,451.6
0.3,148.6,451.6
0.3,149.1,451.6
0.3,146.6,451.6
0.3,149.8,451.6
0.3,149.4,451.6
0.3,148.3,451.6
0.3,149.7,451.6
0.3,149.7,451.6
0.3,150.3,451.6
0.3,150.9,451.6
0.3,149.8,451.6
0.3,150.1,451.6
0.3,150.3,451.6
0.3,150.8,451.6
0.4,150.8,451.6
0.4,150.2,451.6
0.4,150.8,451.6
0.4,150.9,451.6
0.4,151.2,451.6
0.4,151.3,451.6
0.4,150.8,451.6
0.4,150.6,451.6
0.4,150.8,451.6
0.4,151.3,451.6
0.4,150.7,451.6
0.4,150.2,451.6
0.4,149.6,451.6
0.4,149.7,451.6
0.4,151.1,451.6
0.5,151.4,451.6
0.5,151.0,451.6
0.5,150.8,451.6
0.5,150.5,451.6
0.5,151.2,451.6
0.5,150.8,451.6
0.5,150.8,451.6
0.5,151.2,451.6
0.5,151.2,451.6
0.5,150.9,451.6
0.5,150.3,451.6
0.5,150.9,451.6
0.5,151.2,451.6
0.5,151.1,451.6
0.5,151.1,451.6
0.6,149.6,451.6
0.6,150.9,451.6
0.6,151.6,451.6
0.6,150.6,451.6
0.6,150.9,451.6
0.6,149.2,451.6
0.6,149.8,451.6
0.6,150.3,451.6
0.6,149.2,451.6
0.6,150.7,451.6
0.6,151.9,451.6
0.6,150.7,451.6
0.6,151.6,451.6
0.6,150.4,451.6
0.6,150.4,451.6
0.7,151.6,451.6
0.7,151.4,451.6
0.7,151.7,451.6
0.7,151.9,451.6
0.7,150.5,451.6
0.7,151.5,451.6
0.7,151.0,451.6
0.7,151.4,451.6
0.7,151.5,451.6
0.7,150.9,451.6
0.7,150.5,451.6
0.7,150.5,451.6
0.7,151.4,451.6
0.7,150.7,451.6
0.7,150.6,451.6
0.8,150.4,451.6
0.8,150.3,451.6
0.8,151.3,451.6
0.8,150.7,451.6
0.8,150.0,451.6
0.8,151.0,451.6
0.8,150.0,451.6
0.8,151.3,451.6
0.8,150.9,451.6
0.8,150.1,451.6
0.8,150.6,451.6
0.8,150.2,451.6
0.8,150.8,451.6
0.8,151.1,451.6
0.8,148.5,451.6
0.9,150.2,451.6
0.9,150.3,451.6
0.9,150.6,451.6
0.9,150.7,451.6
0.9,150.3,451.6
0.9,145.8,451.6
0.9,150.8,451.7
0.9,150.3,451.6
0.9,151.3,451.6
0.9,150.8,451.7
0.9,150.5,451.7
0.9,150.6,451.6
0.9,150.5,451.6
0.9,150.4,451.6
0.9,149.5,451.6
1.0,150.2,451.6
1.0,150.4,451.6
1.0,150.5,451.6
1.0,150.2,451.6
1.0,150.4,451.6
1.0,149.5,451.6
1.0,150.8,451.6
1.0,151.0,451.6
1.0,151.1,451.6
1.0,150.5,451.7
1.0,149.1,451.7
1.0,150.1,451.7
1.0,151.0,451.8
1.0,149.3,451.8
1.0,149.7,451.8
1.1,149.3,451.8
1.1,150.1,451.8
1.1,151.5,451.8
1.1,151.1,451.8
1.1,150.8,451.8
1.1,150.2,451.8
1.1,150.6,451.8
1.1,150.2,451.8
1.1,151.2,451.8
